file,type,detail,chars,jsBytes,dynamic,readMin,h2,h3,p,avgPara,maxPara,avgSentence,pre,table,svg,img,box,details,quiz,quizExplainAvg,formula,keyPoint,summary,think,metaN,metaDensity,exN,exDensity,calcN,metaWords,exWords
02_硬件基础/12_故障诊断决策树.html,knowledge,偏薄,2681,6056,0,6.7,5,0,1,54,54,47,0,1,0,0,4,0,6,95,0,1,1,1,0,0,1,0.37,0,,实战
02_硬件基础/13_功率级拓扑与SVPWM交互实验室.html,knowledge,动态渲染页,5843,10083,1,14.6,5,0,5,120,169,54,0,1,1,0,6,0,12,138,1,1,1,1,0,0,3,0.51,2,,实例/算例
02_硬件基础/14_硬件公式计算器矩阵.html,knowledge,偏薄,4995,3981,0,12.5,8,0,0,0,0,69,0,0,0,0,3,0,6,110,0,1,1,1,0,0,7,1.4,1,,示例/算例
02_硬件基础/15_传感器与关节标定专题.html,knowledge,适中,7233,456,0,18.1,7,3,8,131,217,60,0,1,0,0,5,0,12,109,2,1,1,1,0,0,0,0,0,,
02_硬件基础/16_PCB_Layout检查清单.html,knowledge,适中,5992,2486,0,15,8,12,7,57,74,46,0,0,2,0,4,0,8,97,0,1,1,1,0,0,0,0,0,,
02_硬件基础/17_STM32外设基础_时钟中断DMA_ADC.html,knowledge,适中+段落过长,19193,416,0,48,9,19,27,358,1103,76,4,5,0,0,4,0,6,538,5,1,1,1,0,0,2,0.1,0,,示例/比如
03_项目实操/06_本次项目核心_Hdrive融合方案完整指南.html,knowledge,适中,11343,487,0,28.4,11,19,7,51,91,132,0,5,1,0,14,0,7,74,0,1,1,1,0,0,0,0,0,,
03_项目实操/07_立创EDA逐模块绘制步骤.html,knowledge,适中,6755,481,0,16.9,11,13,4,48,65,127,0,4,0,0,10,0,6,53,0,1,1,1,0,0,0,0,0,,
03_项目实操/08_完整学习手册_备查用.html,knowledge,适中,12391,482,0,31,10,23,19,119,553,139,2,12,0,0,2,0,6,64,0,1,1,1,0,0,3,0.24,0,,例如/实战
03_项目实操/10_Hdrive新版方案_交叉认证与芯片选型报告.html,knowledge,适中,9962,470,0,24.9,10,14,6,89,148,74,0,11,0,0,10,0,6,87,0,1,1,1,0,0,0,0,0,,
03_项目实操/12_整机调试实战_步态调参与故障排查.html,knowledge,适中,13832,485,0,34.6,10,15,26,258,3115,79,3,8,1,0,10,0,7,66,0,1,1,1,0,0,8,0.58,0,,实战/示例
04_软件与算法/01_软件学习路线图.html,knowledge,适中,6042,523,0,15.1,8,0,3,64,75,108,0,5,0,0,10,0,6,83,0,1,1,1,0,0,1,0.17,0,,示例
04_软件与算法/02_固件与电机控制_SimpleFOC_ODrive_MotorOS.html,knowledge,适中+段落过长,15763,2098,0,39.4,8,26,24,320,1362,73,14,3,0,0,12,0,7,161,0,1,1,1,0,0,8,0.51,0,,示例/实战/例如
04_软件与算法/03_ROS2与机器人软件栈.html,knowledge,适中+段落过长,20528,2335,0,51.3,12,26,35,311,1307,66,23,7,1,0,15,0,7,80,0,1,1,1,2,0.1,8,0.39,0,类比,示例/例如/案例/实战
04_软件与算法/04_仿真与强化学习_MuJoCo_Isaac.html,knowledge,适中,17327,2124,0,43.3,9,11,23,259,1121,76,12,5,0,0,8,0,7,143,0,1,1,1,0,0,8,0.46,2,,示例/算例/例如
04_软件与算法/05_感知与具身智能_VLA与世界模型.html,knowledge,适中,12963,1807,0,32.4,10,13,8,230,892,76,1,4,0,0,12,0,7,127,0,1,1,1,14,1.08,0,0,0,想象,
04_软件与算法/06_视觉SLAM与状态估计.html,knowledge,适中,12576,1773,0,31.4,9,10,14,114,234,61,1,3,0,0,13,0,7,105,0,1,1,1,2,0.16,0,0,0,想象/相当于,
04_软件与算法/07_sim2real部署步骤拆解.html,knowledge,适中+段落过长,6252,484,0,15.6,6,0,4,358,1203,64,2,1,0,0,10,0,7,58,0,1,1,1,0,0,1,0.16,0,,示例
04_软件与算法/08_视觉语言动作模型VLA与世界模型详解.html,knowledge,适中,16919,1604,0,42.3,11,18,10,101,228,87,0,5,0,0,14,0,7,113,0,1,1,1,13,0.77,3,0.18,0,想象,示例/案例
04_软件与算法/09_ROS2入门实战_第一个节点.html,knowledge,适中,7034,509,0,17.6,9,5,11,222,904,102,9,3,0,0,7,0,6,94,0,1,1,1,3,0.43,4,0.57,0,想象/类比,实战
04_软件与算法/10_ROS2实战进阶_URDF与MoveIt2.html,knowledge,适中+段落过长,21072,515,0,52.7,10,11,27,448,2790,44,14,5,0,0,10,0,7,105,0,1,1,1,0,0,7,0.33,0,,实战/示例
04_软件与算法/11_ROS2导航_Navigation2实战.html,knowledge,适中+段落过长,15068,519,0,37.7,10,19,26,269,2257,127,12,8,0,0,10,0,10,71,0,1,1,1,2,0.13,7,0.46,0,类比/想象,实战/示例
04_软件与算法/12_机器人感知专题_相机激光雷达点云.html,knowledge,适中,16797,837,0,42,12,22,25,245,1486,78,5,11,0,0,13,0,10,96,0,1,1,1,0,0,2,0.12,0,,实战/示例
04_软件与算法/13_MoveIt2进阶_运动规划与抓取管线.html,knowledge,适中+段落过长,17424,505,0,43.6,10,24,25,301,1050,80,7,6,0,0,14,0,10,92,0,1,1,1,0,0,7,0.4,0,,实战/示例
04_软件与算法/14_ros2_control实战深挖.html,knowledge,适中+段落过长,28802,496,0,72,10,24,30,764,6684,76,22,5,0,0,17,0,10,126,0,1,1,1,0,0,8,0.28,0,,实战/实例/示例
04_软件与算法/15_浏览器内强化学习实验室.html,knowledge,动态渲染页,2873,11791,1,7.2,5,0,2,190,246,56,0,1,0,0,4,0,3,104,1,1,1,1,0,0,0,0,0,,
04_软件与算法/16_现代控制理论_状态空间到MPC.html,knowledge,适中,27356,621,0,68.4,15,21,49,197,1147,62,7,6,3,0,27,8,5,105,23,1,1,1,1,0.04,9,0.33,1,相当于,例如/案例/算例/示例/实例/实战
04_软件与算法/17_状态观测器全解_龙伯格_EKF_SMO.html,knowledge,适中,28927,495,0,72.3,13,21,59,226,2656,53,3,5,5,0,18,6,6,115,20,1,1,1,3,0.1,5,0.17,1,相当于,算例/实战/实例
04_软件与算法/18_ADRC自抗扰控制与嵌入式实现.html,knowledge,适中,28050,501,0,70.1,12,20,59,190,3062,54,1,8,4,0,16,4,5,96,18,1,1,1,0,0,9,0.32,1,,例如/算例/举例/示例/实战
04_软件与算法/19_FOC算法完全图解_流程与运行图.html,knowledge,适中+段落过长,30881,585,0,77.2,17,20,40,410,9655,60,6,10,9,0,18,4,8,278,13,1,1,1,2,0.06,10,0.32,0,相当于,实战/示例/案例
04_软件与算法/20_FreeRTOS任务调度与实时性.html,knowledge,适中+段落过长,20963,511,0,52.4,10,19,33,335,1149,70,5,6,0,0,7,0,6,530,3,1,1,1,0,0,8,0.38,0,,案例/例如/示例
04_软件与算法/20_工程电机控制框架对比_流程与选型.html,knowledge,适中,19294,494,0,48.2,13,21,34,206,798,71,4,8,9,0,6,0,6,171,0,1,1,1,0,0,3,0.16,0,,示例/实战
04_软件与算法/21_代码规范_C_Python_Verilog.html,knowledge,适中+段落过长,16743,496,0,41.9,9,15,24,284,1359,68,6,5,0,0,4,0,6,509,0,1,1,1,1,0.06,10,0.6,0,想象,比如/例如/示例/案例
04_软件与算法/22_通信与控制算法升级路线.html,knowledge,适中,6092,483,0,15.2,8,1,0,0,0,85,0,4,0,0,8,0,6,98,0,1,1,1,0,0,0,0,0,,
04_软件与算法/23_全身控制与步态规划_WBC与MPC.html,knowledge,适中,13517,4993,0,33.8,12,19,32,134,294,75,0,8,0,0,12,1,4,95,1,1,1,1,2,0.15,5,0.37,1,类比,算例/案例/示例
04_软件与算法/24_整机电气架构与安全设计.html,knowledge,偏薄,3955,2931,0,9.9,8,1,5,168,307,49,0,3,1,0,6,0,3,82,0,1,1,1,0,0,1,0.25,1,,算例
05_前沿知识库/01_全球人形机器人机型全景.html,knowledge,适中,16806,1756,0,42,8,16,12,131,215,90,0,3,1,0,6,3,7,133,0,1,1,1,0,0,0,0,0,,
05_前沿知识库/02_前沿技术专题库.html,knowledge,适中,15880,1200,0,39.7,11,35,9,87,128,77,0,8,0,0,11,0,14,110,0,1,1,1,4,0.25,0,0,0,想象,
05_前沿知识库/03_论文_数据集_开源社区.html,knowledge,适中,16126,727,0,40.3,10,12,7,93,154,109,0,4,0,0,13,0,6,110,0,1,1,1,1,0.06,2,0.12,0,想象,示例/案例
05_前沿知识库/04_灵巧手专题.html,knowledge,适中,17023,1469,0,42.6,12,18,15,123,297,72,0,8,0,0,19,0,13,143,0,1,1,1,0,0,6,0.35,4,,案例/示例/算例
05_前沿知识库/05_电池与能源系统专题.html,knowledge,适中,12534,727,0,31.3,11,20,19,95,205,66,0,5,0,0,16,0,7,137,0,1,1,1,1,0.08,3,0.24,2,想象,算例/例如
05_前沿知识库/06_灵巧操作与抓取规划.html,knowledge,适中,15841,739,0,39.6,11,18,20,135,398,77,2,7,0,0,13,0,12,125,0,1,1,1,0,0,2,0.13,1,,举例/算例
05_前沿知识库/07_开源整机与仓库深度解析.html,knowledge,适中,14879,753,0,37.2,10,7,14,222,745,85,3,4,0,0,12,0,7,167,0,1,1,1,0,0,13,0.87,0,,示例/实战/案例
05_前沿知识库/08_具身智能数据集与评测专题.html,knowledge,适中,17018,745,0,42.5,12,8,11,129,334,71,0,5,1,0,17,0,10,132,0,1,1,1,0,0,0,0,0,,
06_学习工具/01_术语词典.html,tool,-,10013,1920,0,25,7,0,0,0,0,61,0,0,0,0,3,0,6,98,0,1,1,1,0,0,0,0,0,,
06_学习工具/02_常见问答FAQ.html,tool,-,13378,423,0,33.4,8,0,0,0,0,56,0,6,0,0,3,22,6,125,0,1,1,1,0,0,5,0.37,0,,举例/案例
06_学习工具/03_自测题库.html,tool,工具页过薄,496,1792,0,1.2,2,0,1,86,86,71,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,
06_学习工具/04_代码实验室.html,tool,-,4907,23813,1,12.3,7,0,4,110,135,58,1,0,0,0,7,0,6,82,0,1,1,1,0,0,0,0,0,,
06_学习工具/05_传动与控制实验台.html,tool,-,3695,17543,1,9.2,1,0,3,106,131,55,0,0,1,0,5,0,5,112,0,1,1,1,1,0.27,0,0,0,相当于,
06_学习工具/06_学习地图.html,tool,工具页过薄,399,11182,1,1,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
06_学习工具/07_大厂面试专题.html,tool,-,32632,421,0,81.6,14,20,38,251,3996,51,10,4,1,0,7,76,15,91,0,1,1,1,1,0.03,2,0.06,0,想象,举例/实战
06_学习工具/08_仿真中心.html,tool,-,1707,427,0,4.3,7,0,0,0,0,244,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,1.76,0,,实战
06_学习工具/09_动手项目清单.html,tool,-,5680,425,0,14.2,4,5,5,141,375,43,1,2,1,0,4,0,6,88,0,1,0,1,0,0,3,0.53,0,,实战/示例
06_学习工具/10_学习数据分析.html,tool,工具页过薄,753,7792,0,1.9,1,5,0,0,0,75,0,0,0,0,1,0,2,81,0,1,1,0,0,0,0,0,0,,
06_学习工具/11_保研复试面试题库.html,tool,-,1510,29548,1,3.8,5,2,1,81,81,126,1,2,0,0,2,1,1,0,6,1,0,1,0,0,1,0.66,0,,实例
06_学习工具/12_闯关学习.html,tool,工具页过薄,776,20228,1,1.9,4,1,1,83,83,60,1,0,0,0,2,0,0,0,6,1,0,1,0,0,0,0,0,,
06_学习工具/13_AI答疑助手.html,tool,-,1331,11543,1,3.3,3,0,0,0,0,49,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,,
06_学习工具/14_个人作品台.html,tool,工具页过薄,364,1932,0,0.9,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
06_学习工具/15_全站体检.html,tool,工具页过薄,177,5151,0,0.4,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
06_学习工具/16_保研英语面试.html,tool,-,1409,40177,1,3.5,4,5,0,0,0,64,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,,
06_学习工具/17_AI_Agent介绍.html,tool,-,17340,494,0,43.4,8,28,29,138,1043,64,1,8,0,0,13,0,8,129,0,1,1,1,3,0.17,6,0.35,0,类比,案例/实战
06_学习工具/18_学习路径规划.html,tool,-,1505,4436,0,3.8,6,0,2,67,67,60,0,0,0,0,3,0,3,48,0,1,1,1,0,0,0,0,0,,
07_大模型与具身智能/01_大模型基础与MoE架构图解.html,knowledge,适中,6632,216,0,16.6,11,0,7,132,304,58,0,1,2,0,8,3,8,252,2,1,1,1,4,0.6,1,0.15,0,类比/如同,实例
07_大模型与具身智能/02_DeepSeek架构精讲.html,knowledge,偏薄,5119,224,0,12.8,7,0,3,192,345,69,0,1,2,0,6,0,8,220,1,1,1,1,0,0,0,0,0,,
07_大模型与具身智能/03_强化学习与后训练.html,knowledge,适中,6034,218,0,15.1,8,0,7,149,199,69,0,1,2,0,4,0,8,247,3,1,1,1,0,0,1,0.17,1,,示例
07_大模型与具身智能/04_基座选型与开源生态.html,knowledge,偏薄,4436,223,0,11.1,6,0,1,234,234,74,0,1,2,0,6,0,7,247,0,1,1,1,0,0,1,0.23,0,,案例
07_大模型与具身智能/05_代码实战_部署微调与Agent.html,knowledge,适中+段落过长,7390,175,0,18.5,9,0,6,500,962,107,5,2,1,0,3,0,6,244,0,1,1,1,1,0.14,3,0.41,0,想象,实战
08_NPU与数字IC设计/01_板块总览与学习路线.html,knowledge,适中,16137,424,0,40.3,11,10,15,104,221,98,0,5,1,0,15,21,5,134,1,1,1,1,0,0,15,0.93,0,,实战/案例/示例
08_NPU与数字IC设计/02_数字设计环境与工具链.html,knowledge,偏多+段落过长,34828,477,0,87.1,11,33,40,479,2715,82,21,6,1,0,23,0,5,129,0,1,1,1,2,0.06,11,0.32,0,相当于,实例/实战/示例
08_NPU与数字IC设计/03_Verilog语法与状态机设计.html,knowledge,适中+段落过长,30323,484,0,75.8,8,18,46,362,1315,48,16,10,2,0,38,0,4,155,0,1,1,1,0,0,13,0.43,0,,实战/示例/实例
08_NPU与数字IC设计/04_FIFO设计与跨时钟域CDC.html,knowledge,适中+段落过长,22619,487,0,56.5,12,31,37,362,2786,49,11,3,4,0,14,4,5,97,4,1,1,1,1,0.04,6,0.27,0,好比,例如/实例/比如/案例/实战
08_NPU与数字IC设计/05_APB总线协议与接口设计.html,knowledge,适中+段落过长,25569,489,0,63.9,6,11,28,525,3104,52,4,4,4,0,22,0,5,120,0,1,1,1,0,0,12,0.47,0,,实战/例如/示例/比如
08_NPU与数字IC设计/06_深度学习基础与LeNet实战.html,knowledge,适中,31927,483,0,79.8,11,18,90,196,906,78,5,13,3,0,5,0,5,138,19,1,1,1,1,0.03,14,0.44,0,相当于,实战/比如/例如
08_NPU与数字IC设计/07_NPU体系结构与脉动阵列.html,knowledge,适中,24809,479,0,62,8,12,53,249,1265,87,1,7,4,0,6,0,5,138,4,1,1,1,0,0,4,0.16,0,,例如/实战/示例
08_NPU与数字IC设计/08_模型量化与端侧部署.html,knowledge,适中,27039,497,0,67.6,9,14,28,244,1212,76,3,10,4,0,29,12,7,130,5,1,1,1,1,0.04,13,0.48,0,相当于,实战/举例/示例/案例
08_NPU与数字IC设计/09_芯片设计流程与AHB_AXI总线.html,knowledge,适中,25787,492,0,64.5,11,20,45,237,1021,65,6,6,6,0,13,5,5,72,3,1,1,1,0,0,5,0.19,0,,实战/示例
08_NPU与数字IC设计/10_NPU项目实战上_Spec与控制模块.html,knowledge,适中+段落过长,30822,496,0,77.1,8,10,31,512,4963,57,5,10,3,0,21,0,4,162,0,1,1,1,1,0.03,10,0.32,0,相当于,实战/示例/举例/比如
08_NPU与数字IC设计/11_NPU项目实战下_运算模块与联调.html,knowledge,偏多+段落过长,37008,506,0,92.5,8,14,40,515,1872,61,13,8,5,0,30,0,5,130,0,1,1,1,0,0,10,0.27,0,,实战/例如/比如/示例
08_NPU与数字IC设计/12_SystemVerilog与UVM架构.html,knowledge,偏多+段落过长,41016,503,0,102.5,10,16,31,1062,5606,58,13,10,3,0,34,0,5,152,0,1,1,1,0,0,15,0.37,0,,实例/示例/实战
08_NPU与数字IC设计/13_NPU验证项目_环境搭建与覆盖率.html,knowledge,适中+段落过长,30935,437,0,77.3,6,13,27,580,3648,59,8,9,2,0,28,0,5,135,0,1,1,1,0,0,16,0.52,0,,实战/示例/实例/比如
